workerid,age,american,gender,language
1235,23,Yes,Female,English
1167,23,Yes,Male,English
1193,28,Yes,Female,English 
1187,25,Yes,Male,English
1240,50,Yes,Female,English
1158,33,Yes,Male,English
1204,30,Yes,Female,English
1247,32,Yes,Female,English
1176,22,Yes,Female,English
1206,42,Yes,Female,English 
1182,33,Yes,Female,English
1177,55,Yes,Female,english
1219,21,Yes,Male,English
1239,55,Yes,Female,Engligh
1200,26,Yes,Male,English
1229,25,Yes,Female,English
1207,24,,Female,English
1189,37,Yes,Male,English
1181,24,Yes,Male,English
1162,50,Yes,Male,English 
1238,34,Yes,Female,English
1198,53,Yes,Male,English 
1225,38,Yes,Female,english
1246,29,Yes,Female,English
1173,64,Yes,Female,English
1149,26,Yes,Female,English
1156,31,Yes,Female,English
1243,21,Yes,Male,
1222,32,Yes,Male,English
1208,33,Yes,Male,english
1174,26,Yes,Female,english
1166,29,Yes,Male,English 
1185,54,Yes,Male,English
1155,41,Yes,Male,English
1194,23,Yes,Male,English
1217,60,Yes,Female,English
1209,41,Yes,Male,English
1233,40,Yes,Female,English
1153,25,Yes,Female,English
1183,21,Yes,Male,english
1202,26,Yes,Female,English
1178,35,Yes,Female,English
1180,27,Yes,Male,English
1248,35,Yes,Male,English
1210,35,Yes,Female,English 
1250,27,Yes,Male,English
1241,56,Yes,Female,English
1223,26,Yes,Male,english
1232,36,Yes,Male,English
1231,49,Yes,Male,English
1154,54,Yes,Female,English
1236,50,Yes,Female,ENGLISH
1205,21,Yes,Female,english
1213,29,Yes,Female,English
1172,55,Yes,Female,English
1242,21,Yes,Female,English
1226,32,Yes,Female,English
1184,55,Yes,Male,English
1148,55,Yes,Male,English
1151,25,Yes,Female,english
1192,29,Yes,Female,English
1244,54,Yes,Male,English
1218,53,Yes,Female,English 
1245,32,Yes,Female,English
1179,29,Yes,Male,
1157,21,Yes,Female,English
1212,26,Yes,Female,English
1227,36,Yes,Female,English
1203,25,Yes,Female,English
1191,37,Yes,Male,English
1168,26,Yes,Female,English
1221,34,Yes,Male,English
1152,30,Yes,Male,English
1230,57,Yes,Female,english
1169,49,Yes,Male,English
1165,27,Yes,Male,English
1196,28,Yes,Male,English
1190,43,Yes,Male,English
1161,40,Yes,Female,English
1186,19,Yes,Male,Ennglish
1201,22,No,Female,English 
1188,31,Yes,Female,English
1197,22,Yes,Female,English
1215,24,Yes,Male,English
1220,46,Yes,Male,English
1171,58,Yes,Male,English
1228,24,Yes,Male,English
1237,50,Yes,Female,english and russian
1195,39,Yes,Female,English
1249,24,Yes,Female,English
1170,39,Yes,Male,English
1214,38,Yes,Male,English
1199,27,Yes,Female,
1211,40,Yes,Male,English
1163,37,Yes,Male,English
1216,22,Yes,Male,English
1175,,Yes,Male,
1160,31,Yes,Female,English
1224,28,Yes,Female,English
1234,51,Yes,Male,English